edge_id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
EDGE_0_42909,73.38847351074219,73.57962799072266,73.54117584228516,72.86857604980469,71.56069946289062,70.1988296508789,69.30696868896484,68.51896667480469,67.27507781982422,65.89207458496094,65.0820541381836,64.9326400756836,64.99596405029297,65.05015563964844,65.42340850830078,66.5639877319336,68.36906433105469,70.17267608642578,71.4725570678711,72.33106231689453,72.93997192382812,73.28108978271484,73.35114288330078,73.31537628173828
EDGE_1_42910,70.72830200195312,70.93099975585938,70.89021301269531,70.17755126953125,68.7955093383789,67.36161041259766,66.42545318603516,65.6001968383789,64.30106353759766,62.86175537109375,62.02124786376953,61.86640930175781,61.932029724121094,61.98818588256836,62.37522506713867,63.56035232543945,65.44340515136719,67.3341293334961,68.7025375366211,69.60896301269531,70.25313568115234,70.61448669433594,70.68873596191406,70.65081787109375
EDGE_2_42911,75.0900650024414,75.27310943603516,75.23628997802734,74.5918960571289,73.33670043945312,72.02662658691406,71.16699981689453,70.40636444091797,69.20352935791016,67.86309051513672,67.07649230957031,66.9312744140625,66.99282836914062,67.04549407958984,67.40811157226562,68.51473236083984,70.26155090332031,72.0014419555664,73.25199890136719,74.07637786865234,74.66033172607422,74.9872055053711,75.05430603027344,75.02005004882812
EDGE_3_42912,75.16790771484375,75.35057830810547,75.31383514404297,74.6707763671875,73.4180908203125,72.11048889160156,71.2524185180664,70.49309539794922,69.29225158691406,67.95388793945312,67.1684341430664,67.02342224121094,67.08489227294922,67.13748168945312,67.49958038330078,68.60453796386719,70.34852600097656,72.0853500366211,73.33354949951172,74.15630340576172,74.73907470703125,75.06526947021484,75.13223266601562,75.0980453491211
EDGE_4_42913,74.52873992919922,74.71452331542969,74.67715454101562,74.02322387695312,72.75019836425781,71.42253875732422,70.55194091796875,69.78196716308594,68.5650863647461,67.21002960205078,66.41535186767578,66.26868438720703,66.33085632324219,66.38404083251953,66.75033569335938,67.86863708496094,69.63541412353516,71.39702606201172,72.6643295288086,73.50027465820312,74.09266662597656,74.42435455322266,74.49244689941406,74.45767974853516
EDGE_5_42914,70.9471206665039,71.14891815185547,71.10831451416016,70.39875793457031,69.02244567871094,67.59406280517578,66.6612777709961,65.83882904052734,64.54383850097656,63.10870361328125,62.27042770385742,62.11598587036133,62.18143844604492,62.23745346069336,62.62348556518555,63.805328369140625,65.68255615234375,67.56668090820312,68.92984771728516,69.83257293701172,70.4740219116211,70.83380126953125,70.90772247314453,70.86997985839844
EDGE_6_42915,60.95768737792969,61.233787536621094,61.23222351074219,60.59163284301758,59.38980484008789,58.19991683959961,57.77880859375,58.24091720581055,58.8679313659668,59.129608154296875,59.21944808959961,59.42287826538086,59.65626907348633,59.8013801574707,60.08909225463867,60.80535125732422,61.82320785522461,62.65151596069336,62.905250549316406,62.57895278930664,61.969993591308594,61.41268539428711,61.03083038330078,60.85218048095703
EDGE_7_42916,64.5828628540039,64.84810638427734,64.84660339355469,64.23085021972656,63.072364807128906,61.92119598388672,61.512786865234375,61.960933685302734,62.567989349365234,62.82099151611328,62.907806396484375,63.10430145263672,63.329586029052734,63.469573974609375,63.7469482421875,64.43641662597656,65.41361236572266,66.20659637451172,66.4491195678711,66.13721466064453,65.55428314208984,65.01985168457031,64.65314483642578,64.48143768310547
EDGE_8_42917,65.96202087402344,66.18193817138672,66.1376724243164,65.3655014038086,63.87525177001953,62.33903121948242,61.34149169921875,60.465641021728516,59.09351348876953,57.5827522277832,56.705055236816406,56.543731689453125,56.61208724975586,56.67060089111328,57.07429122924805,58.31480026245117,60.29961013793945,62.309688568115234,63.77534484863281,64.75125122070312,65.44728088378906,65.838623046875,65.91911315917969,65.87800598144531
EDGE_9_42918,71.84266662597656,72.04069519042969,72.0008544921875,71.30437469482422,69.95219421386719,68.54714965820312,67.62865447998047,66.81819915771484,65.54090118408203,64.12368774414062,63.295066833496094,63.142337799072266,63.20706558227539,63.26245880126953,63.644134521484375,64.81183624267578,66.66413116455078,68.52019500732422,69.86116027832031,70.7483139038086,71.3782730102539,71.73145294189453,71.80400848388672,71.76696014404297
