node_id,lat,lng
0,12.978565,77.62053
1,12.977402,77.62027
2,12.981372,77.61565
3,12.981914,77.61563
4,12.978034,77.618904
5,12.978569,77.6186
6,12.971201,77.60545
7,12.971352,77.60462
8,12.965891,77.604805
9,12.966344,77.60481
10,12.962292,77.59583
11,12.973958,77.60942
12,12.972735,77.60955
13,12.973339,77.60986
14,12.967307,77.59495
15,12.967155,77.5948
16,12.972179,77.59405
17,12.972328,77.594124
18,12.976659,77.59934
19,12.976694,77.599815
20,12.96366,77.60109
21,12.964125,77.601
22,12.965285,77.600266
23,12.963882,77.606285
24,12.963405,77.60584
25,12.964215,77.60587
26,12.962967,77.60547
27,12.962249,77.59449
28,12.96213,77.59417
29,12.965052,77.59889
30,12.965093,77.598335
31,12.962273,77.59407
32,12.965229,77.596886
33,12.966719,77.596504
34,12.965542,77.60143
35,12.965815,77.6015
36,12.968775,77.602715
37,12.970254,77.603546
38,12.963142,77.60122
39,12.962961,77.60437
40,12.962646,77.604996
41,12.963722,77.60234
42,12.964764,77.60314
43,12.972,77.6072
44,12.97169,77.60708
45,12.969856,77.60656
46,12.969847,77.60698
47,12.97475,77.60594
48,12.973963,77.60763
49,12.976254,77.60114
50,12.97616,77.60173
51,12.975686,77.60211
52,12.975541,77.600746
53,12.975638,77.60165
54,12.973081,77.60138
55,12.972903,77.601395
56,12.972923,77.602394
57,12.974151,77.60305
58,12.974236,77.60404
59,12.975485,77.602585
60,12.975981,77.60254
61,12.972527,77.601204
62,12.969159,77.600464
63,12.970543,77.60002
64,12.975052,77.599754
65,12.972982,77.60122
66,12.97318,77.6012
67,12.971222,77.59775
68,12.97134,77.595955
69,12.971873,77.59363
70,12.971857,77.59378
71,12.969538,77.594475
72,12.9717,77.606575
73,12.971489,77.60659
74,12.969605,77.61046
75,12.970343,77.6104
76,12.97045,77.61
77,12.964473,77.601295
78,12.963192,77.59791
79,12.962704,77.5985
80,12.963021,77.59998
81,12.964098,77.606705
82,12.964942,77.6037
83,12.9642,77.604576
84,12.9651375,77.603165
85,12.984123,77.59745
86,12.98391,77.59737
87,12.983184,77.59854
88,12.9854965,77.60517
89,12.985511,77.6055
90,12.985603,77.605354
91,12.984597,77.61396
92,12.984337,77.61428
93,12.98454,77.614426
94,12.973598,77.59362
95,12.978557,77.597694
96,12.976844,77.5964
97,12.965375,77.61787
98,12.965453,77.61831
99,12.9667845,77.6204
100,12.9667015,77.62043
101,12.962483,77.618935
102,12.962304,77.618355
103,12.963882,77.618256
104,12.980575,77.603386
105,12.981456,77.60315
106,12.979706,77.60363
107,12.978751,77.604195
108,12.966993,77.60931
109,12.966744,77.60919
110,12.981881,77.59471
111,12.981385,77.59432
112,12.985331,77.594406
113,12.981073,77.60696
114,12.981192,77.60783
115,12.978692,77.60694
116,12.982003,77.603935
117,12.984126,77.604385
118,12.983195,77.60337
119,12.984543,77.60507
120,12.979745,77.61348
121,12.980208,77.6143
122,12.981451,77.613235
123,12.982532,77.61256
124,12.981958,77.612686
125,12.982453,77.61565
126,12.982722,77.61587
127,12.98304,77.61625
128,12.984466,77.60072
129,12.984621,77.60162
130,12.983117,77.60326
131,12.982153,77.60345
132,12.982283,77.60303
133,12.983378,77.59957
134,12.982463,77.6001
135,12.983559,77.60047
136,12.9885025,77.60618
137,12.98785,77.60634
138,12.988022,77.60614
139,12.98556,77.60567
140,12.985591,77.605515
141,12.985335,77.60702
142,12.985423,77.60669
143,12.985413,77.607346
144,12.985163,77.60714
145,12.984408,77.60832
146,12.98522,77.60861
147,12.984478,77.60888
148,12.98431,77.60972
149,12.984729,77.61037
150,12.984935,77.6103
151,12.984817,77.61043
152,12.984888,77.61052
153,12.985407,77.61025
154,12.984551,77.611084
155,12.981291,77.59782
156,12.981608,77.598694
157,12.980862,77.59847
158,12.9709015,77.61233
159,12.970643,77.61289
160,12.96978,77.615036
161,12.970792,77.61477
162,12.969094,77.61538
163,12.969496,77.61601
164,12.971223,77.6151
165,12.971831,77.61406
166,12.964141,77.61455
167,12.964559,77.614044
168,12.9629755,77.61461
169,12.962969,77.61477
170,12.96955,77.60762
171,12.969333,77.60804
172,12.96961,77.60862
173,12.968701,77.60993
174,12.969567,77.61051
175,12.988661,77.59334
176,12.987019,77.595
177,12.988827,77.5936
178,12.972572,77.61875
179,12.974896,77.60871
180,12.973984,77.611595
181,12.9742,77.61165
182,12.976581,77.60027
183,12.973521,77.61452
184,12.976466,77.60217
185,12.981614,77.61005
186,12.981872,77.61039
187,12.983628,77.60657
188,12.983954,77.606735
189,12.986267,77.61202
190,12.986111,77.612175
191,12.973551,77.607735
192,12.973128,77.60602
193,12.972351,77.60555
194,12.972122,77.6043
195,12.976173,77.603424
196,12.975575,77.60421
197,12.986769,77.61949
198,12.966385,77.59507
199,12.965728,77.59754
200,12.96495,77.59693
201,12.965135,77.59693
202,12.965021,77.597115
203,12.962172,77.59455
204,12.984717,77.601746
205,12.985913,77.59783
206,12.985872,77.598404
207,12.986366,77.597725
208,12.976622,77.59921
209,12.9756155,77.597916
210,12.9722,77.59426
211,12.972253,77.59417
212,12.9802265,77.59966
213,12.981969,77.59936
214,12.983902,77.600845
215,12.984142,77.60022
216,12.985081,77.59775
217,12.986127,77.59667
218,12.984866,77.5974
219,12.984133,77.60145
220,12.983356,77.601166
221,12.983015,77.6007
222,12.984563,77.601654
223,12.987407,77.60391
224,12.987349,77.60384
225,12.98729,77.60401
226,12.987734,77.60706
227,12.986535,77.60668
228,12.986354,77.607086
229,12.986664,77.60711
230,12.985356,77.60773
231,12.985758,77.60754
232,12.983049,77.61174
233,12.982755,77.611694
234,12.983577,77.60907
235,12.985629,77.60826
236,12.98785,77.60892
237,12.986968,77.60897
238,12.982328,77.6091
239,12.9828005,77.60885
240,12.985832,77.60979
241,12.984697,77.61298
242,12.984597,77.614494
243,12.984525,77.614456
244,12.981047,77.60979
245,12.981424,77.60964
246,12.984026,77.61078
247,12.985581,77.60908
248,12.98578,77.60896
249,12.985974,77.61118
250,12.987607,77.61151
251,12.987821,77.61084
252,12.988592,77.61005
253,12.988392,77.60969
254,12.988091,77.60994
255,12.988742,77.60926
256,12.9881935,77.607285
257,12.988285,77.60689
258,12.985993,77.608986
259,12.98577,77.60914
260,12.986066,77.60876
261,12.986947,77.60796
